pipeline_name,state_name,label_space,group_id,k,units_total,duplicate_units,excess_duplicates_total,synergies_total,units_nsyn_gt_k,duplicate_pairs_total,within_unit_pairs_total,scope,duplicate_unit_rate,excess_duplicate_ratio,duplicate_pair_rate,units_nsyn_gt_k_rate,gap_statistic,gap_sd,objective_sse,point_to_centroid_sq_sum,point_to_centroid_sum,selected_k_flag,selection_rule,algorithm_used
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,2,72,70,133,270,65,171,408,group,0.9722222222222222,0.4925925925925926,0.41911764705882354,0.9027777777777778,0.7965225515565759,0.013110840463340807,122.9796642609036,122.97966426090365,178.10267843459664,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,3,72,58,83,270,41,94,408,group,0.8055555555555556,0.3074074074074074,0.23039215686274508,0.5694444444444444,0.8997148032513529,0.014039113215202485,106.0273742029658,106.02737420296583,164.97263551856753,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,4,72,40,50,270,17,52,408,group,0.5555555555555556,0.18518518518518517,0.12745098039215685,0.2361111111111111,0.9864217474823533,0.011414959488251263,93.00393216639908,93.00393216639912,153.85891553618978,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,5,72,29,32,270,3,32,408,group,0.4027777777777778,0.11851851851851852,0.0784313725490196,0.041666666666666664,1.0148195650105745,0.005988174276734683,87.06309072144623,87.06309072144626,148.9186427474081,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,72,25,27,270,0,27,408,group,0.3472222222222222,0.1,0.0661764705882353,0.0,1.041874945680834,0.01481870721981245,82.6604133088911,82.6604133088911,145.15136313676268,true,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,7,72,9,9,270,0,9,408,group,0.125,0.03333333333333333,0.022058823529411766,0.0,1.0642849275171944,0.025184456241725692,78.53755083043328,78.53755083043326,140.95720513666487,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,8,72,7,7,270,0,7,408,group,0.09722222222222222,0.025925925925925925,0.01715686274509804,0.0,1.0941988702554744,0.009847909991124103,74.10284948439627,74.10284948439623,137.0238884967463,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,9,72,6,6,270,0,6,408,group,0.08333333333333333,0.022222222222222223,0.014705882352941176,0.0,1.132598068978517,0.014779663123916998,70.1028141579724,70.10281415797238,133.43518083695835,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,10,72,6,6,270,0,6,408,group,0.08333333333333333,0.022222222222222223,0.014705882352941176,0.0,1.146618806002425,0.015752910999537673,67.50524779836077,67.50524779836077,131.2369458896821,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,11,72,3,3,270,0,3,408,group,0.041666666666666664,0.011111111111111112,0.007352941176470588,0.0,1.1702299513174328,0.021286968908597634,64.87595258492226,64.87595258492227,128.6633594205041,false,gap_statistic_first_k_ge_gap_next_minus_sd,
