step_cluster_id,nonstep_cluster_id,cosine_similarity,selected_in_assignment,passes_threshold,match_id
0,0,0.557455083636898,False,False,
0,1,0.7104960380203795,False,False,
0,2,0.4092799587330352,False,False,
0,3,0.41667695403058197,False,False,
0,4,0.3791712609876411,False,False,
0,5,0.9694281037825049,True,True,same_synergy_01
0,6,0.8032235883015192,False,False,
0,7,0.4282674827988211,False,False,
0,8,0.3670286498821289,False,False,
0,9,0.45267793661302996,False,False,
0,10,0.6551117751507812,False,False,
0,11,0.4864740378917989,False,False,
0,12,0.6558276627303304,False,False,
0,13,0.36762326294113196,False,False,
1,0,0.6521399367792268,False,False,
1,1,0.4541946186355626,False,False,
1,2,0.38452143394626526,False,False,
1,3,0.3820741900510494,False,False,
1,4,0.425560400530023,False,False,
1,5,0.5158921855491562,False,False,
1,6,0.6143336450402765,False,False,
1,7,0.5132479201598825,False,False,
1,8,0.3793871196723521,False,False,
1,9,0.4321425836658417,False,False,
1,10,0.9594278497927402,True,True,same_synergy_02
1,11,0.484482250858573,False,False,
1,12,0.5464165018026327,False,False,
1,13,0.37610869092329413,False,False,
2,0,0.6140912080738784,False,False,
2,1,0.7439457384644133,False,False,
2,2,0.7230848022382348,False,False,
2,3,0.4700320701817064,False,False,
2,4,0.7584017090425935,False,False,
2,5,0.4712662690370984,False,False,
2,6,0.5707257835227586,False,False,
2,7,0.9588256882067588,True,True,same_synergy_03
2,8,0.7575846409754445,False,False,
2,9,0.8842942672980364,False,False,
2,10,0.6470509580564314,False,False,
2,11,0.516726013506987,False,False,
2,12,0.6077372527815488,False,False,
2,13,0.42826076140564273,False,False,
3,0,0.48150339045491847,False,False,
3,1,0.5578994894833886,False,False,
3,2,0.5111218659769741,False,False,
3,3,0.501763819628862,False,False,
3,4,0.5188961355401706,False,False,
3,5,0.5222686222837499,False,False,
3,6,0.4487729682664011,False,False,
3,7,0.500820408121769,False,False,
3,8,0.5113899591399844,False,False,
3,9,0.5904802150602693,False,False,
3,10,0.5594522048886607,False,False,
3,11,0.6659729847307689,False,False,
3,12,0.8760874058055361,True,True,same_synergy_04
3,13,0.4625565013673534,False,False,
4,0,0.6969679394272384,False,False,
4,1,0.5880651029238032,False,False,
4,2,0.5233535254828198,False,False,
4,3,0.4786357420501256,False,False,
4,4,0.5950450185286507,False,False,
4,5,0.44810951848330105,False,False,
