group_id,cluster_id,frame_idx,h_value
global_nonstep,1,54,0.1297267377
global_nonstep,1,55,0.1182144061
global_nonstep,1,56,0.1134934649
global_nonstep,1,57,0.1090469211
global_nonstep,1,58,0.1064881235
global_nonstep,1,59,0.1092022732
global_nonstep,1,60,0.1260872036
global_nonstep,1,61,0.1515626162
global_nonstep,1,62,0.1701497585
global_nonstep,1,63,0.1746379286
global_nonstep,1,64,0.1721361279
global_nonstep,1,65,0.1731535941
global_nonstep,1,66,0.1763991117
global_nonstep,1,67,0.1830687672
global_nonstep,1,68,0.1849662662
global_nonstep,1,69,0.1895879507
global_nonstep,1,70,0.2037137747
global_nonstep,1,71,0.2167803049
global_nonstep,1,72,0.2220178992
global_nonstep,1,73,0.2259217203
global_nonstep,1,74,0.2273543924
global_nonstep,1,75,0.2164232582
global_nonstep,1,76,0.2020995468
global_nonstep,1,77,0.1953939050
global_nonstep,1,78,0.1859930009
global_nonstep,1,79,0.1840567291
global_nonstep,1,80,0.1899031550
global_nonstep,1,81,0.1857272089
global_nonstep,1,82,0.1696448475
global_nonstep,1,83,0.1512279212
global_nonstep,1,84,0.1387509555
global_nonstep,1,85,0.1370323598
global_nonstep,1,86,0.1384096444
global_nonstep,1,87,0.1323623061
global_nonstep,1,88,0.1230943576
global_nonstep,1,89,0.1107819974
global_nonstep,1,90,0.1023718342
global_nonstep,1,91,0.0974335596
global_nonstep,1,92,0.0960912481
global_nonstep,1,93,0.0982814282
global_nonstep,1,94,0.0997106731
global_nonstep,1,95,0.1020928398
global_nonstep,1,96,0.1043446213
global_nonstep,1,97,0.1060920507
global_nonstep,1,98,0.1131208017
global_nonstep,1,99,0.1216180176
global_nonstep,2,0,0.0266377404
global_nonstep,2,1,0.0277274624
global_nonstep,2,2,0.0281701609
global_nonstep,2,3,0.0305221938
global_nonstep,2,4,0.0313216522
global_nonstep,2,5,0.0288017113
global_nonstep,2,6,0.0253275670
global_nonstep,2,7,0.0264951754
global_nonstep,2,8,0.0285734702
global_nonstep,2,9,0.0279455576
global_nonstep,2,10,0.0282041822
global_nonstep,2,11,0.0288529359
global_nonstep,2,12,0.0301701520
global_nonstep,2,13,0.0300237797
global_nonstep,2,14,0.0295685139
global_nonstep,2,15,0.0333974175
global_nonstep,2,16,0.0440144353
global_nonstep,2,17,0.0745347068
global_nonstep,2,18,0.0974078625
global_nonstep,2,19,0.0717959553
global_nonstep,2,20,0.0653110445
global_nonstep,2,21,0.0921075568
global_nonstep,2,22,0.1074641049
global_nonstep,2,23,0.0932380855
global_nonstep,2,24,0.0688119456
global_nonstep,2,25,0.0512934327
global_nonstep,2,26,0.0517481677
global_nonstep,2,27,0.0580841191
global_nonstep,2,28,0.0704328120
global_nonstep,2,29,0.0843305886
global_nonstep,2,30,0.0885457397
global_nonstep,2,31,0.0936112031
global_nonstep,2,32,0.1130912900
global_nonstep,2,33,0.1260838807
global_nonstep,2,34,0.1481063515
global_nonstep,2,35,0.1523226649
global_nonstep,2,36,0.1572432965
global_nonstep,2,37,0.1818548292
global_nonstep,2,38,0.2077259272
global_nonstep,2,39,0.2028244436
global_nonstep,2,40,0.1928414255
global_nonstep,2,41,0.1704628617
global_nonstep,2,42,0.1706151813
global_nonstep,2,43,0.1921200901
global_nonstep,2,44,0.2210522443
global_nonstep,2,45,0.2445102334
global_nonstep,2,46,0.2469662875
global_nonstep,2,47,0.2602860928
global_nonstep,2,48,0.2649271488
global_nonstep,2,49,0.2621051073
global_nonstep,2,50,0.2683942616
global_nonstep,2,51,0.2769093812
global_nonstep,2,52,0.2830358446
global_nonstep,2,53,0.2801540792
global_nonstep,2,54,0.2731489241
global_nonstep,2,55,0.2476732433
global_nonstep,2,56,0.2125102133
global_nonstep,2,57,0.1977570057
global_nonstep,2,58,0.2140686214
global_nonstep,2,59,0.2198588401
global_nonstep,2,60,0.2093359679
global_nonstep,2,61,0.2064685524
global_nonstep,2,62,0.2158679217
global_nonstep,2,63,0.2272081524
global_nonstep,2,64,0.2417988628
global_nonstep,2,65,0.2397045493
global_nonstep,2,66,0.2415702045
global_nonstep,2,67,0.2490196079
global_nonstep,2,68,0.2527436912
global_nonstep,2,69,0.2567631006
global_nonstep,2,70,0.2580997944
global_nonstep,2,71,0.2610225677
global_nonstep,2,72,0.2491630912
global_nonstep,2,73,0.2299268842
global_nonstep,2,74,0.2086763382
global_nonstep,2,75,0.2067791522
global_nonstep,2,76,0.2242087573
global_nonstep,2,77,0.2374512404
global_nonstep,2,78,0.2442959696
global_nonstep,2,79,0.2375321239
global_nonstep,2,80,0.2288710326
global_nonstep,2,81,0.2319543809
global_nonstep,2,82,0.2379465699
global_nonstep,2,83,0.2444952279
global_nonstep,2,84,0.2468015552
global_nonstep,2,85,0.2312929630
global_nonstep,2,86,0.2110815048
global_nonstep,2,87,0.1921525598
global_nonstep,2,88,0.1827334315
global_nonstep,2,89,0.1831988096
global_nonstep,2,90,0.1782418042
global_nonstep,2,91,0.1675878167
global_nonstep,2,92,0.1703711748
global_nonstep,2,93,0.1757127494
global_nonstep,2,94,0.1771566570
global_nonstep,2,95,0.1776112765
global_nonstep,2,96,0.1749248207
global_nonstep,2,97,0.1709782332
global_nonstep,2,98,0.1691175848
global_nonstep,2,99,0.1726194173
global_nonstep,3,0,0.1178182513
global_nonstep,3,1,0.1231708303
global_nonstep,3,2,0.1239647642
global_nonstep,3,3,0.1167137101
global_nonstep,3,4,0.1079153642
global_nonstep,3,5,0.1070408151
global_nonstep,3,6,0.1079734564
global_nonstep,3,7,0.1091512740
global_nonstep,3,8,0.1183163226
global_nonstep,3,9,0.1259712428
global_nonstep,3,10,0.1218493134
global_nonstep,3,11,0.1242181733
global_nonstep,3,12,0.1238353997
global_nonstep,3,13,0.1251470447
global_nonstep,3,14,0.1402766407
global_nonstep,3,15,0.1124153510
global_nonstep,3,16,0.1043348461
global_nonstep,3,17,0.1118162200
global_nonstep,3,18,0.1083691493
global_nonstep,3,19,0.1132427156
global_nonstep,3,20,0.1222279221
global_nonstep,3,21,0.1564291120
global_nonstep,3,22,0.1802743524
global_nonstep,3,23,0.1844688356
global_nonstep,3,24,0.1769188195
global_nonstep,3,25,0.2099775970
global_nonstep,3,26,0.2766692936
global_nonstep,3,27,0.2720257044
global_nonstep,3,28,0.2419692874
global_nonstep,3,29,0.2328890860
global_nonstep,3,30,0.2197466344
global_nonstep,3,31,0.2279823422
global_nonstep,3,32,0.2330615073
global_nonstep,3,33,0.1947135627
global_nonstep,3,34,0.1955455244
global_nonstep,3,35,0.2055492103
global_nonstep,3,36,0.2098541260
global_nonstep,3,37,0.2477012426
global_nonstep,3,38,0.2711217701
global_nonstep,3,39,0.2713423371
global_nonstep,3,40,0.2561291158
global_nonstep,3,41,0.2445111126
global_nonstep,3,42,0.2342835814
global_nonstep,3,43,0.2076829523
global_nonstep,3,44,0.1889805049
global_nonstep,3,45,0.1806901544
global_nonstep,3,46,0.1852305532
global_nonstep,3,47,0.1808918864
global_nonstep,3,48,0.1726748943
global_nonstep,3,49,0.1817130893
global_nonstep,3,50,0.1825861931
global_nonstep,3,51,0.1957427412
global_nonstep,3,52,0.1945829839
global_nonstep,3,53,0.1848732531
global_nonstep,3,54,0.1725412458
global_nonstep,3,55,0.1833938509
global_nonstep,3,56,0.2016376108
global_nonstep,3,57,0.2149806321
global_nonstep,3,58,0.2380275428
global_nonstep,3,59,0.2609125674
global_nonstep,3,60,0.2701018751
global_nonstep,3,61,0.2577606440
global_nonstep,3,62,0.2538695335
global_nonstep,3,63,0.2599147558
global_nonstep,3,64,0.2341282964
global_nonstep,3,65,0.2040420622
global_nonstep,3,66,0.1729815751
global_nonstep,3,67,0.1691047400
global_nonstep,3,68,0.1809199005
global_nonstep,3,69,0.1738923788
global_nonstep,3,70,0.1679800749
global_nonstep,3,71,0.1688791811
global_nonstep,3,72,0.1553363502
global_nonstep,3,73,0.1490021646
global_nonstep,3,74,0.1684326380
global_nonstep,3,75,0.1948519349
global_nonstep,3,76,0.1938034892
global_nonstep,3,77,0.1791161001
global_nonstep,3,78,0.1851270199
global_nonstep,3,79,0.2056812942
global_nonstep,3,80,0.2220949829
global_nonstep,3,81,0.2308815569
global_nonstep,3,82,0.2393447608
global_nonstep,3,83,0.2497319281
global_nonstep,3,84,0.2429360002
global_nonstep,3,85,0.2284809649
global_nonstep,3,86,0.2164090574
global_nonstep,3,87,0.2027405798
global_nonstep,3,88,0.1927685887
global_nonstep,3,89,0.1958974451
global_nonstep,3,90,0.1779366136
global_nonstep,3,91,0.1627807915
global_nonstep,3,92,0.1684104353
global_nonstep,3,93,0.1753627211
global_nonstep,3,94,0.1768890619
global_nonstep,3,95,0.1811087132
global_nonstep,3,96,0.1894416660
global_nonstep,3,97,0.1958055198
global_nonstep,3,98,0.2126563489
global_nonstep,3,99,0.2232649326
global_nonstep,4,0,0.0983733758
global_nonstep,4,1,0.0925227329
global_nonstep,4,2,0.0839908868
global_nonstep,4,3,0.0817954540
global_nonstep,4,4,0.0863239095
global_nonstep,4,5,0.0865671560
global_nonstep,4,6,0.0893039107
global_nonstep,4,7,0.0929087177
global_nonstep,4,8,0.0963947847
global_nonstep,4,9,0.1004549414
global_nonstep,4,10,0.0981524214
global_nonstep,4,11,0.0926515833
global_nonstep,4,12,0.0912659541
global_nonstep,4,13,0.0983135030
global_nonstep,4,14,0.1048675105
global_nonstep,4,15,0.1120944321
